Solution for problem: iis-bupa-cov
Total time for conflict search: 0
Total amount of conflicting groups: 0Solution is feasible.

ObjectiveFunction value: 101.0

Number of moves evaluated: 11754475; Number of moves done: 0
Values of de decision variables:
x205, value=1
x204, value=1
x202, value=1
x320, value=1
x319, value=1
x318, value=1
x316, value=1
x313, value=1
x311, value=1
x309, value=1
x227, value=1
x226, value=1
x223, value=1
x100, value=1
x221, value=1
x341, value=1
x219, value=1
x217, value=1
x216, value=1
x212, value=1
x333, value=1
x332, value=1
x210, value=1
x209, value=1
x208, value=1
x241, value=1
x240, value=1
x249, value=1
x243, value=1
x119, value=1
x18, value=1
x230, value=1
x116, value=1
x115, value=1
x110, value=1
x231, value=1
x108, value=1
x20, value=1
x4, value=1
x26, value=1
x6, value=1
x263, value=1
x262, value=1
x140, value=1
x260, value=1
x148, value=1
x268, value=1
x145, value=1
x143, value=1
x34, value=1
x36, value=1
x251, value=1
x259, value=1
x257, value=1
x256, value=1
x40, value=1
x42, value=1
x47, value=1
x46, value=1
x285, value=1
x163, value=1
x283, value=1
x282, value=1
x160, value=1
x281, value=1
x280, value=1
x289, value=1
x288, value=1
x286, value=1
x50, value=1
x59, value=1
x274, value=1
x273, value=1
x158, value=1
x157, value=1
x278, value=1
x275, value=1
x60, value=1
x64, value=1
x69, value=1
x68, value=1
x185, value=1
x74, value=1
x75, value=1
x77, value=1
x296, value=1
x295, value=1
x294, value=1
x292, value=1
x170, value=1
x291, value=1
x178, value=1
x82, value=1
x88, value=1
x90, value=1
x191, value=1
x304, value=1
x303, value=1
x302, value=1
x301, value=1
x300, value=1
